Index,Abstract,Reviewer,True label,Comments,Requires expert review,JH Review,Prediction
9565,"An exercise apparatus which simulates stair climbing, is adjustable to achieve various levels of difficulty and adjustable to accommodate individuals of all heights. The exercise apparatus has a support structure, left and right foot levers pivotally connected to the support structure, a rotatable shaft rotatably attached to the support structure, and left and right clutches drivingly connected to the rotatable shaft. The left and right clutches independently drive the rotatable shaft in a drive-rotational direction when either of the clutches is rotated in the drive-rotational direction. Each clutch overrides the rotatable shaft when rotated in the counter drive-rotational direction. Pulleys or sprockets are mounted on each of the clutches. A rope or chain drivingly engages the pulleys or sprockets and causes their rotation when the foot levers are moved. A worm gear, which is driven by the rotatable shaft, is part of a resistance assembly mounted on the support structure. The resistance assembly contains a worm driven by the worm gear, a flywheel mounted on the worm, and braking device for braking the flywheel. The worm gear assembly and flywheel imparts a smooth, dynamic fluid-like operation to the movement of the foot levers. In one embodiment the foot levers operate independently of each other. In another embodiment the foot levers are synchronized. In still another embodiment the foot lever operation can be easily converted back and forth between independent and synchronized motion thereby allowing for variation in exercising routines.",Raymond,No,,,,No
9568,"Incremental automotive transportation to a person wearing a pair of identical motorized shoes is described. Each shoe houses in its sole an assembly of electrically powered set of wheels clasped over longitudinally by a conveyor from heel to toe. The assembly, skewed at an adjustable angle from the longitude towards the instep, is initially in an elevated no-contact position with an underlying surface. When lowered and switched on, the assembly operates and transports the shoe forward, which is in contact with the surface through it only. The assembly is designed to neutralize forces acting to disrupt its operation during walking while the sole is equipped to provide stability by absorbing impacts. Further, multiple assemblies can be housed in one sole wherein some of them can be tilted, twisted, reflexively twisted, recessed and all have electronic sensors. Additionally, all electro-mechanical operations can be remote and computer controlled.",Lior,No,,,,Yes
9574,"A barrier-free wheelchair constructed entirely of plastic or non-metal components. The device is designed to facilitate the passage of wheelchair occupants through magnetometers, such as those utilized for airport security. The present invention is non-collapsible in nature, as the device is intended for on-site usage and not for transport in vehicles and the like. Due to its materials and construction, the wheelchair of the present invention also allows for a solid non-sling seat, is pilferage resistant, and provides multiple surfaces upon which indicia, such as corporate graphics, may appear. In addition, consistent with pre-existing wheelchairs, the present invention allows for the removable attachment of a variety of accessories, including foot rests and trays.",Jamie,No,,,,No
9613,A board game wherein two to four participants compete in moving a plurality of simulated space rockets to the center of the moon from a launch base and then the players substitute a simulated capsule for movement back to earth. Simulated recovery ships are then utilized for movement to the landing area to transport the capsules back to the launch base. Structure is provided for each participant to delay the progress of his or her opponent&#39;s vehicles which are in the form of simulated space rockets and capsules.,Zara,No,,,,No
9675,"A method for performing operationally prescribed brake trials before the departure of a railway train, utilizes an indicating and diagnostic system disposed on board the train and operated by the train driver. Sensors in the braking system of each car bogie supply information signals representing pressures, travels and forces to a bogie processor which is connected with a car processor. The car processors are connected by a continuous data bus line with a central processor. The central processor processes the operational information from the brake system according to a processing program into status reports such as general status indications, fault diagnoses and maintenance instructions. The indications and instructions are visually displayed on a monitor and a printer, and acoustically reproduced by a speech synthesizer through a loudspeaker. The car processors are programmable by means of mobile computers and interrogatable by means of pocket terminals. Stored operational data is interrogable from outside each railway car by means of a mobile personal computer at each railroad vehicle.",Johanna,Yes,automated brake system,,,No
9681,"A self-loading dump body truck comprising a vehicle having a frame, first and second cross members mounted on the frame, the first cross member being positioned near the rear of the vehicle and the second cross member being positioned forwardly of the first cross member, a cargo box pivotally connected to the first cross member and being supported by the second cross member in a lowered positioned, and inverted U-shaped boom member pivotally connected to the first cross member, the cargo box and the boom member having a common pivot axis, a hydraulic cylinder for pivoting the boom member with respect to the frame, a slide connected to the boom member and slidably engaging the cargo box for movement with respect to the cargo box as the boom member is pivoted, and a connecting arrangement for selectively connecting the slide to the cargo box for pivoting the cargo box as the boom member is pivoted.",Rohan,No,,,,No
9687,"A hydraulic parking brake controller for a motor vehicle for controlling the operation of a parking brake of the transmission output-shaft mounted type in response to the operating unit. The controller comprises a primary control and a secondary control. The primary control actuates and releases the parking brake at a first rate. The secondary control actuates the parking brake at a second rate slower than the first rate in an instance in which the parking brake is in the released state and the operation unit malfunctions. If a circuit break should occur in the operation unit while the parking brake is in the released state, the secondary control actuates the parking brake at the second rate. The parking brake is thus not actuated suddenly in the event of an abrupt wire disconnection, such that the braking action is dampened.",Raymond,No,,,,No
9691,"A wheel slip control system (ABS and/or drive slip control and/or engine drag moment control system) is formed so that when vehicle motion along curvilinear path is detected the control system is switched to different permitted wheel slip values on different sides of the vehicle, in such a way that a yawing moment is created which acts counter to the yawing moment produced by the vehicle&#39;s tendency to oversteer or understeer.",Lior,Yes,,,,Yes
9702,"Disclosed is a protective cover for trailer coupling devices. The protective cover includes a shaft with a hollowed inner core for housing a trailer coupling device and a protective pad that is adjoined to one end of the shaft. When installed, the protective casing cover protects a trailer&#39;s coupling device from adverse weather conditions. Additionally, upon installation, the protective pad of the protective cover serves to prevent or reduce damage to a vehicle when a driver backs up too far while trying to align a vehicle&#39;s trailer hitch with a trailer&#39;s coupling device.",Jamie,No,,,,No
9721,"A vehicle wheel splash guard for use on trucks, trailers, and other wheeled or tracked vehicles to reduce dangerous spray and splash. The splash guard is a double-wall construction having inner and outer walls which generally conform to the contour of a tire, covering the top and upper side portions thereof. Elongated apertures in the inner wall provide passages to the inside of the double-wall construction for water thrown off the tire. Said apertures extend in a direction transverse to that of the tire rotation on the top portion and in the direction of tire rotation on the side portions thereof. Baffles inside the double walls drain the water to locations under the vehicle and away from the paths of following tires. The splash guard is molded in one piece from lightweight plastic and may be formed to any shape desired or even inset with de-icing wires.",Zara,No,,,,No
9726,"The present invention provides an improved fuel efficiency measuring system for a fuel cell vehicle which simplifies various valves and hydrogen lines and modulizes its individual elements. More specifically, the present invention provides an improved fuel efficiency measuring system for a fuel cell vehicle that eliminates a purging hydrogen tank previously used for removing residual air in a hydrogen supply line and instead removes residual air in a hydrogen supply line by using a vehicle side hydrogen tank. Additionally, the present invention simplifies couplers installed in a hydrogen supply line, and considerably reduces manufacturing costs by eliminating a high-cost break-away coupler adapted to couple a fuel efficiency measuring unit and the vehicle side.",Johanna,No,,,,No
9731,"The instant invention relates to the deposit of the fiber sliver end after the filling of a flat can. It is the object of the invention to deposit and prepare the sliver end in the area of the filling station on a full flat can in order to facilitate automatic handling of the flat can during transportation as well as automatic handling of the sliver end on a spinning machine at the least possible cost. The invention assumes that the positions between outlet (15) of the rotary plate (12), severing device (18) and flat can (1) in relation to each other are adjustable and that an influence on the point of deposit of the sliver end and on the length of the sliver end results from this selected setting.",Rohan,No,,,,No
9732,"A vehicle computer system comprising a power management system for ensuring that continuous power is supplied to the computer system even when the car is turned off. The computer system comprises a client computer, a server, a plurality of peripheral devices, a power cable for connecting the vehicle battery to the client computer and the peripherals, a backup battery connected to the vehicle battery by a switch such that the switch is turned on when the power from the vehicle battery is low, and a power inverter for converting an direct current voltage from the vehicle battery or the backup battery into an alternating current for powering the client computer and the peripherals.",Raymond,No,,,,No
9733,"The present vehicle vision system enhances visibility internally and externally with respect to the vehicle. A vision system is provided which is configured to switch between a plurality of modes. The system further includes a far-field effect which alters the focal length of the display in the vision system so as to reduce driver eye strain during operation. The vision system may be incorporated into various locations throughout the vehicle (e.g., the vehicle overhead console).",Lior,No,Seems to only apply to human drivers,"Justin, please opine.",No. Describes a driver assistance tool. Not an autonomous vehicle technology.,Yes
9743,The invention includes a wash station that sprays water onto a vehicle traversing the station to remove debris. The portable tire rack station includes an elongated frame with folding ramps at each end and a hollow longitudinal tube on one frame end that provides internal fluid communication to spray ports in the frame. A grate spanning the frame supports the vehicle during station traversal and vibrates the vehicle as it traverses the station to remove debris therefrom. An entry port in the frame receives remote water for the spray ports that selectively discharge the water to remove trapped debris from the station and into a suitable containment area or collection tray.,Jamie,No,,,,No
9744,"A controlled suspension for a wheeled vehicle includes a damper between the vehicle body and wheel, the damper being switchable, at a frequency sufficient for the control of resonant wheel vibrations, between a first mode of operation characterized by a high damping force and a second mode of operation having a low damping force. A control repeatedly derives from sensed vehicle suspension related operating variables desired force to be applied between the body and wheel in order to produce a desired suspension behavior determines whether that force result in active or dissipative suspension power. The control further stores a threshold and controls the damper for each derivation so that (1) the damper operates in its second mode of operation when the desired force would produce active power, (2) the damper operates in its first mode of operation when the desired force exceeds the threshold and would produce dissipative power, and (3) the damper operates in its second mode of operation when the desired force is less than the threshold and would produce dissipative power.",Zara,No,,,,Yes
9746,"A ceiling material for vehicles, said ceiling material comprises: 
     a core material (11) composed of a resin foamed article; 
     a protective layer (12) comprising a thermoplastic resin blended with fibers in a range of not less than 40% and not more than 80% in volume content; 
     said protective layer (12) being provided on at least one surface of the core material (11); 
     and a thin sheet-shaped surface material (14) provided on the surface of the protective layer (12). 
     A process of producing ceiling materials for vehicles, which comprises the steps of: 
     a material sheet of a protective layer comprising a thermoplastic resin blended with fibers in a range of not less than 40% and not more than 80% in volume content being heated to not less than a glass transition point of the thermoplastic resin; 
     said material sheet being overlaid with a core material sheet composed of a resin foamed article; 
     a surface material being on the core material sheet; 
     and pressuring and shaping said protective layer, said core material sheet, and said surface material which have been overlaid using a molding mold.",Johanna,No,,,,No
9753,"The invention relates to a device, particularly for a tailgate ( 1 ) of a vehicle, comprising a camera unit ( 10 ) which is used to capture images of the outer region ( 4 ) of a vehicle, and a drive ( 20 ) by means of which the camera unit ( 10 ) can be transferred between a rest mode ( 2 ) and an operational mode ( 3 ), the camera unit ( 10 ) being protected from the outer region ( 4 ) by means of a cover element ( 11 ) when in the rest mode ( 2 ), an image being able to be captured by means of the camera unit ( 10 ) when in the operational mode ( 3 ), a control unit ( 30 ) being provided which is used to control a part of the vehicle, a carrier ( 40 ) being provided in which the camera unit ( 10 ) is arranged and which simultaneously acts as a housing for said camera unit ( 10 ), and the carrier ( 40 ) having such mounting interfaces ( 41 ) that the drive ( 20 ) and the control unit ( 30 ) are held on the carrier ( 40 ) in a reliable manner to form a common installation assembly which can be fixed to the vehicle.",Rohan,No,Tailgate camera unit,Maybe,No. Too generic to reach a confident yes conclusion.,No
9757,"Video aids are disclosed to assist vehicle drivers for all phases of vehicle control and driving conditions. In one exemplary embodiment, a driver&#39;s vision augmentation system is flexibly configured for installation on virtually any vehicle for real-time video display to the vehicle driver of each tire&#39;s contact with the ground. Such a driver&#39;s vision augmentation system can improve one&#39;s ability to drive in off-road conditions, e.g., through an otherwise impassable terrain, in order to increase survivability and improve chances for mission success.",Raymond,No,,,,Yes
9765,"A vehicle tail light operational indicator is mounted to a vehicle tail light to visually communicate the proper operation of turn signals, tail lights, and brake lights to an operator seated in the driver&#39;s seat of a motor vehicle. The vehicle tail light operational indicator comprises a reflecting light bar positioned to be viewable in a side view mirror of the vehicle. The vehicle tail light operational indicator further comprises a pair of base anchors that are adhesively attached to a vehicle tail light and which support the light bar. Each base anchor further includes a hinge and threaded adjuster which allows adjustment of the vehicle tail light operational indicator on various tail light designs as well as allowing the vehicle tail light operational indicator to pivot without damage if accidentally struck by an object while driving.",Lior,No,,,,No
9768,"An elongate mechanical device for vehicles, for absorbing impacts, which includes a profiled or tubular elongate part of polygonal cross section, and an end part mounted at one end of the elongate part, at an angle perpendicular to the axis of the elongate part, and intended for fastening to other elements. In the vicinity of its end, the elongate part includes cutouts, which create adjusted regions or faces, in the vicinity of edges of its cross section, and a rigid fastening is provided between the elongate part and the end part that maintains the adjusted regions in direct contact with the end part, the adjusted regions being dimensioned to withstand compressive loads and a tilting torque during impacts.",Jamie,No,"vehicle related, more for safety",,,No
9773,"In order to achieve improved protection of the occupants of a motor vehicle, a side airbag is proposed which, when necessary, provides different hardnesses depending on the size of the vehicle occupant. The airbag includes at least one main chamber and at least one auxiliary chamber. The main chamber and auxiliary chamber are connected with each other via a connecting opening. Furthermore, an outflow opening is present from which gas can flow out of the airbag. The outflow opening is included in the auxiliary chamber. A closing element is provided which, when the auxiliary chamber meets an obstacle during or after expansion of the airbag, blocks or throttles the gas flow through the outflow opening.",Zara,No,,,,No
9777,"A method of powertrain thermal control in a vehicle having grille airflow shutters. The method comprises the steps of: detecting vehicle operating conditions including at least a temperature condition for an engine cooling loop and engine load; pumping engine coolant through the engine cooling loop including pumping the engine coolant through a radiator under all temperature conditions of the engine cooling loop; and adjusting the grille airflow shutters relative to a grille to selectively block a portion, none or all airflow through the grille to thereby control airflow through the radiator based upon the detected vehicle operating conditions.",Johanna,No,,,,No
9783,"Semiconductor processors, sensors, semiconductor processing systems, semiconductor workpiece processing methods, and turbidity monitoring methods are provided. According to one aspect, a semiconductor processor includes a process chamber configured to receive a semiconductor workpiece for processing; a supply connection in fluid communication with the process chamber and configured to supply slurry to the process chamber; and a sensor configured to monitor the turbidity of the slurry. Another aspect provides a semiconductor workpiece processing method including providing a semiconductor process chamber; supplying slurry to the semiconductor process chamber; and monitoring the turbidity of the slurry using a sensor.",Rohan,No,,,,No
9788,"A carrying apparatus is disclosed to provide for secure transportation of construction materials, such as a backsplash, between sidewalls.",Raymond,No,,,,No
9793,"A multi-purpose four-wheel drive vehicle having four-wheel steering. The vehicle according to the present invention incorporates a number of features, some of which are individually known in the prior art but which, when combined in a single vehicle, constitute a vehicle having several advantages over conventional vehicles presently employed for various uses. The applicant&#39;s multi-purpose vehicle is of light-weight construction, is relatively inexpensive to manufacture in comparison with vehicles presently employed for the same jobs as those accomplished by the present vehicle, and has substantially less initial and operating costs. The applicant&#39;s vehicle incorporates a relatively high ground clearance which is achieved by employing four vertical axles and wheels situated at the four corners of a main frame body of the vehicle. The vertical axles are situated in respective spaced-apart leg post members, each leg post member being rigidly interconnected by two spaced-apart longitudinally extending frame members and two spaced-apart transversely extending frame members. At least three of the frame members are of torsionally resilient construction. When a weight is suspended mid-point between the front and rear wheels of the vehicle, this weight may be transferred by the vehicle without traction loss due to the increased load in that true traction is increased as the load increases.",Lior,No,,,,No
9797,"Method for determining the load condition of a vehicle ( 60 ) moving at non-zero speed, the vehicle being equipped with a plurality of tire-wheel assemblies ( 41 - 42, 51 - 52 ) mounted on at least two axles and with devices that enable determination of the vehicle&#39;s speed and the rotation frequencies or speeds and actual inflation pressures of at least two tire-wheel assemblies mounted on two different axles of the vehicle, the method comprising the following stages: (A) determination of the inflation pressures and rotation frequencies of two tire-wheel assemblies mounted on two different axles; (B) calculation of the load difference between the two tire-wheel assemblies from the vehicle&#39;s speed and the rotation frequencies of the two tire-wheel assemblies, taking into account the actual inflation pressures; (C) determination of the load condition by comparing the calculated load difference with at least one predetermined threshold.",Jamie,No,,,,No
9800,"An optical system including a plurality of selectably directable mirrors ( 38 ) each arranged to direct a laser beam ( 41 ) to a selectable location within a field, a plurality of mirror orientation sensors ( 45 ) operative to sense the orientation of the plurality of selectably directable mirrors and to provide mirror orientation outputs and an automatic calibration subsystem ( 47 ) for automatically calibrating the plurality of selectably directable mirrors, the automatic calibration subsystem including a target ( 40 ) being operative to provide an optically visible indication of impingement of a laser beam thereon; the target being rewritable and having optically visible fiducial markings ( 54, 56 ), a target positioner ( 42 ) for selectably positioning the target, an optical sensor ( 44 ) operative to view the target following impingement of the laser beam thereon and to provide laser beam impingement outputs and a correlator ( 36 ) operative to provide a calibration output.",Zara,No,,,,No
9804,"The invention relates to a motor vehicle comprising a fully automatic transmission, of the type in which a management unit ( 20 ) controls the operation of the engine ( 10 ) as a function of torque demand information from a throttle pedal ( 24 ), and of the type in which the engine management can be modified as a function of information transmitted by a transmission ( 16 ) control unit ( 22 ) to the engine ( 10 ) management unit ( 20 ), characterized in that for certain phases of operation of the vehicle, the transmission ( 16 ) control unit ( 22 ) inhibits the action of the torque demand information, for which it substitutes an engine management command to which the management unit ( 20 ) is subordinated.",Johanna,No,,,,No
9817,"The present invention is a step load bracket having a substantially horizontal portion and a substantially vertical portion connected to the substantially horizontal portion. The present invention also includes at least one support member connected to the substantially vertical portion and the substantially horizontal portion. The support member provides support for a body component of a vehicle having a step, such as a fascia, when a load is applied to the fascia in a vertical direction, but has pre-determined crush characteristics when the fascia suffers from an impact load in a horizontal direction, such as during a rear-end collision.",Rohan,No,,,,No
9822,"An active body ventilation system which is dynamically responsive to vehicle status parameters, including for example the door open/closed status and the HVAC system status. An active ventilation unit is attached with a body wall which includes a portal housing defining a portal, a portal cover and a portal cover actuator for selectively adjusting the portal cover to thereby increase or decrease the unobstructed size of the opening of the portal. The active ventilation unit is interfaced electronically to various sensors of the motor vehicle, in which programming of an electronic control module determines optimum positioning of the portal covering via selective actuation of the portal cover actuator.",Raymond,No,,,,No
9831,A method controls a parallel parking of a vehicle. A distance between the first object and the second object is remotely sensed. The distance is compared to a first predetermined distance and a second predetermined distance. An autonomous first steering strategy maneuver is performed for parking the vehicle between the first object and second object if the distance is greater than the first predetermined distance. The first steering strategy maneuver consists of a first predetermined number of steering cycles for parking the vehicle. An autonomous second steering strategy maneuver is performed for parking the vehicle between the first and second object if the distance is between the first predetermined distance and the second predetermined distance. The second steering strategy maneuver consists of a second predetermined number of steering cycles for parking the vehicle where the second is greater than the first predetermined number of steering cycles.,Lior,Yes,,,,Yes
9844,An apparatus is provided for removably mounting an electronic device to the dashboad of a vehicle. The apparatus includes a mount securable to the electronic device and a cradle fixed to the vehicle for receipt of the mount. The mount includes a plate for attachment to the electronic device and at least one flexible locking arm extending from said plate. The outwardly biased arm engages the cradle when the mount is secured to the cradle. The arm is deflected inwardly to allow the electronic device to be quickly and easily removed from the dashboard of the vehicle in a single motion.,Jamie,No,,,,No
9847,"A method for influencing the load on a driver while driving a motor vehicle, in which a workload is determined from physiological driver data detected by sensors, and to an apparatus for carrying out the method. The load or the workload on the driver is kept in an optimum workload range and brought back to this optimum range if there is any discrepancy, thus ensuring an optimum driver performance level and attention level. For this purpose, vehicle systems are driven as a function of the detected workload value in such a way that the driver is influenced via his visual, auditory or tactile sense channels in such a way that his workload value returns to a value in the optimum workload range.",Zara,Yes,using sensors,,,Yes
9848,"A rock crushing and conveying apparatus for an open pit mining operation having an apron feeder conveyor, a rock crushing assembly and an endless belt drive station, each of which are capable of being lifted by a transporter vehicle and moved within the strip mine to different locations to reduce the amount of time lost in transporting raw material from the actual mining site to the rock crusher. The gyratory crusher is housed in a toroidal body mounted on three legs and elevated so that the underside of the body, which has a load bearing ring under the crusher, is accessible to said transporter vehicle.",Johanna,No,,,,No
9851,"A mold for producing foamed articles includes an upper mold and a lower mold which define a mold cavity. A vent is provided in communication with the mold cavity and has a vent passageway with an entrance and an exit. Structure is also provided for sealingly engaging the upper mold with the lower mold to cause, in cooperation with the predetermined size and shape of the vent passageway, liquid foam polymeric composition expanding inside the mold cavity to enter the vent entrance but to not exit from the vent exit to cause at least partial curing of the foam composition within the vent passageway. Preferably, the vent may be ribbon-shaped so that a ribbon of foamed composition adheres to the foamed article and may be folded flat against the article thus avoiding the labor step of trimming the flash from the product. Additionally, .[.or alternatively,.]. the vent may include a vent passageway with an obstruction disposed therein to provide one or more openings between the outer surface of the obstruction and the inner surface of the vent passageway. The foam composition in these openings may be expelled by driving the obstruction axially within the passageway. Again, the labor step of hand trimming the flash is avoided.",Rohan,No,,,,No
9854,"A transportation system includes a vehicle having wings, a propulsion system, a lifting gear coupling the vehicle to an undercarriage, and a guidance assembly movably connecting the undercarriage to guide rails. The wings generate aerodynamic lift when the vehicle exceeds a first speed. The lifting gear supports a load of the vehicle in a first position in relation to the undercarriage when the vehicle travels at less than the first speed, allows the vehicle to lift to a second position in relation to the undercarriage as the vehicle accelerates beyond the first speed, and maintains the vehicle in the second position when the vehicle exceeds the first speed. The guidance assembly shiftingly engages the guide rails through rollers that are in rolling contact with the guide rails when the vehicle is in the first position and are displaced from the guide rails when the vehicle is in the second position.",Raymond,No,,,,No
9857,"A two-directional manual drive which produces a rotational movement, starting from the neutral position of a drive lever which can pivot around a drive axis whereby the rotational movement can occur in a selective manner in one of two rotational directions, includes a driven element having a driving surface, on which bearing surfaces of coupling elements are placed in frictional engagement when the drive lever is rotated out of a neutral position, displacing the driven element in the direction of the periphery. When the drive lever is returned to the neutral position the coupling elements are released from a position of frictional engagement with respect to the cylindrical driving surface so that the driven element is no longer displaced.",Lior,No,,"Justin, please confirm",No. Too generic to reach a confident yes conclusion.,No
9869,"A rear suspension connecting structure located under the floor of a vehicle wherein one horizontal reinforcement member is employed at an inner side of the rear floor side member. A weld pipe, for receiving an entire shank of a bolt, is coupled to an upper side of the reinforcement, and the weld pipe is coupled to a vertical bulkhead coupled along the width of the reinforcement.",Jamie,No,,,,No
9875,"To facilitate handling cargo while standing erect, the camper top of a pickup truck cargo box is held by power-operated screw jacks which are installed in existing side board mounts of the cargo box. The provision of side curtains on the camper top allows conversion to a true recreational vehicle. The camper top cannot be raised or lowered until the ignition key is in place and a switch for the screw jacks is activated, thereby providing security.",Zara,No,,,,No
9877,A motor vehicle brake and clutch actuator system includes a pressurized fluid source and a plurality of fluid actuated brakes. Each brake is adapted to individually decelerate a vehicle wheel. A fluid actuated clutch is adapted to drivingly interconnect members of a vehicle driveline. A plurality of valves selectively communicate the pressurized fluid source with one of the plurality of fluid actuated brakes and the fluid actuated clutch.,Johanna,No,,,,No
9881,A vehicle communication system device consisting of an opto-electrical message display unit adapted to be viewed from the exterior of the vehicle and of a message control unit that is connected to the display unit for programming a message and transmitting an electrical pulse pattern to the display unit that causes the display unit to display the programmed message.,Rohan,No,,,,No
9886,"A lift vehicle has an elongated support structure affixed to its upper end, with the axis of elongation of the support structure parallel to or coincident with the longitudinal axis of the lift vehicle. The support structure defines a plurality of attachment planes, each of which includes the axis of elongation, which together divide the region about the axis of elongation into N angular sections or regions, each with an included angle of 360°/N. A plurality MN of spacecraft are organized into a plurality of M sets or layers, each containing N spacecraft. Each spacecraft defines first and second lateral support planes, skewed relative to each other, which intersect at a line of intersection, is parallel to the axis of elongation when the spacecraft are mounted to the support structure. Two or more spacecraft are mounted in end-to-end position in each angular portion. Each spacecraft stiffens the support structure, so that the stiffened support structure, can sustain the launch forces. Spacecraft of upper layers do not bear on lower layers. Controllable attachments hold the first and second lateral support planes of each spacecraft adjacent to the attachment planes defined by the support structure.",Raymond,No,,,,No
9888,"Methods and an apparatus are provided for producing owners manual information related to operation of a vehicle. The apparatus comprises a display system, an input device configured to generate a control signal in response to actuation by an operator of the vehicle, and a control module that is configured to sense an event of the vehicle and generate an output signal corresponding to the event. In addition, the apparatus further comprises a display control module configured to receive the control signal generated by the input device and the output signal generated by the control module. The display control module is further configured to control the display system in order to produce a visual representation of the owners manual information related to operation of the vehicle in response to the control signal and the outputsignal.",Lior,Yes,,"Justin, please confirm",Yes,No
9889,"A printer, especially a device for printing images and characters on a candle includes an inkjet-printing unit. The printing unit comprises a printing bracket on which a printing head is provided. The printing head may reciprocate linearly relative to the printing bracket. Two rotating shafts parallel with each other are arranged below the inkjet-printing unit. At least one of the rotating shafts connects with a driving device. The driving device and the inkjet-printing unit connect with a circuit broad. The device may be used to print golden, silvery, white, and color images and characters on a waxen surface, or used in combination with a computer having a strong image processing functionality to print color images and characters on the candle, meeting an individuation need of a person. The image may be online updated or self defined at all hours according to fashion and vogue.",Jamie,No,,,,No
9893,"A slip control system for vehicles having spaced apart differentially driven wheels (200,202) including means (220) for calculating wheel slip according to the ratio of wheel speeds, means (242,230,232) for entering a slip control mode wherein a braking force is applied to the slipping wheel and incrementally varied on a periodic review basis according to recalculated slip values. If slip increases or holds steady, the brake force is incrementally increased. As slip becomes less, the brake force is incrementally reduced, the particular increments of force reduction being selected in accordance with successive measurements of slip. A drive shaft signal (226) is compared to the high wheel speed signal to identify a wheel speed transducer failure.",Zara,No,,,,Yes
9894,"A device for closing an access opening in a motor vehicle outer skin, especially a tank access opening, having a closure flap that swivels from a closed position into an access position. The closure flap closes essentially flush with the motor vehicle outer skin in the closed position and the closure flap is mounted in such a manner as to be displaceable essentially orthogonally with respect to the motor vehicle outer skin and swivelable about a swivel axis that is essentially orthogonally oriented with respect to the motor vehicle outer skin.",Johanna,No,,,,No
9900,A pallet exchanging apparatus for machine tool used for exchanging the pallet loaded with the machined workpieces with the pallet loaded with the workpieces to be machined. The pallet exchanging apparatus has a transmission device for shifting the pallet between a work position on a table of the machine tool and a waiting position for exchanging the pallets. The transmission device is driven either by the movement of the table or the movement of the driving mechanism for the table and is adapted to output the rotational movement. The output of the transmission is used for driving a speed-up device. The speed-up device is adapted to move the pallet linearly with higher speed and larger stroke than those of the linear movement of the table.,Rohan,No,,,,No
9916,"A track assembly for moving a vehicle which includes a track having lugs including both drive and guide portions on its inner surface. The guide portions substantially abut against the track rollers of the assembly. Such abutment maintains alignment of the track between those rollers so as to prevent it from moving from side to side and interfering with feeding of the drive portions onto the assembly drive sprocket. Further, the guide portions grab against the drive sprocket to maintain contact of the drive portions therewith. Each of the above functions permits uninterrupted movement of the vehicle since the track is enabled to move in a continued path.",Raymond,No,,,,No
9927,"A cutting device, particularly suited for removing vehicle glazing panels, has forward blade carrier and a rearward handle spaced from the forward blade carrier. The forward blade carrier may function as a handle, the device thereby being operable in two handed use. The rearward handle and forward blade may be movable relative to one another permitting re-configuration of the device. The rearward handle and forward blade carrier may be connected by a bridge portion. Novel aspects of the blade and lubrication for the device are also described and claimed.",Lior,No,,,,No
9931,"A control system for controlling a brake system of a braked vehicle during a turn, the vehicle having four wheels. The control system is configured to selectively modify a brake pressure applied to each of the wheels by the brake system. The control system is configured to receive a driver input relating to a brake pressure sought to be applied. The control system includes a controller for monitoring a slip status of each of the four wheels during a turn. The controller is configured to direct the brake system to independently increase, decrease, or hold the brake pressure applied to each of the four wheels based at least in part upon slip status of each respective wheel. The controller is configured to direct the brake system to modify the brake pressure applied to each of the wheels such that the brake pressure applied to a given wheel of the four wheels is always equal to or less than the brake pressure sought to be applied.",Jamie,No,Automatic braking? May just help with regular braking,yes,No. Standard braking feature. Not a critical subsystem of AV technology.,Yes
9936,"A method for controlling a drivetrain including an automatically shifted starting clutch and gear-shift clutch and a transmission, with a non self-locking clutch actuator, a gear actuator for engaging and disengaging transmission gears and a control unit which generates control commands for the clutch actuator and gear actuator and transmits such commands to the actuators such that, when the vehicle is at rest and a gear is engaged and if the clutch actuator fails, the clutch does not inadvertently engage. When a transmission gear is engaged, a control command is generated and sent for the clutch actuator to disengage the clutch. Thereafter, the vehicle speed is determined and if the speed is essentially zero and the clutch begins to engage, a control command is sent to the gear actuator to shift the transmission to its neutral position.",Zara,No,,,,No
9945,"An adjustable memory track assembly for a vehicle seat has a lower rail ( 18 ) adapted to be secured relative to a vehicle frame, and an upper rail ( 20 ) adapted to support the seat for fore/aft sliding movement relative to the lower rail ( 18 ). The adjustable memory track assembly ( 24 ) also has a track lock assembly ( 24 ) operable via a first actuator ( 28 ) between a locked, engaged state wherein relative movement between the lower ( 18 ) and upper rails ( 20 ) is resisted, and an unlocked, disengaged state wherein the seat can be slid to and then locked in a user-selected position. The adjustable memory track assembly ( 24 ) is characterized in that the memory module ( 24 ) is provided with a blocking element to prevent rearward movement of the seat past the user-selected position independent of the locking state of the track lock assembly ( 24 ).",Johanna,No,,,,No
9950,"A multi-function machine for drilling, boring, driving and lifting comprising a translation system ( 2 ) which supports a turret ( 3 ) motorized and provided with driving cab. A lattice tower type arm is hinged to the frame of the turret and movable between substantially raised and inclined positions. In at least a first configuration the arm is used as a lifting arm. The free upper end of the arm has a head ( 9 ) having a system of pulleys and/or transmissions for rope ( 10 ). The arm ( 4 ) can rotate with respect to the turret ( 3 ) to acquire a second configuration of mounting/transport wherein its longitudinal axis is substantially horizontally arranged and turned over toward the front. Ropes and rods are provided ( 14,16 ) for bringing the arm from the first to the second configuration and vice-versa. The arm ( 4 ) can acquire a third operating configuration wherein its longitudinal axis is substantially vertically arranged; in said third configuration the arm ( 4 ) is a guide for a digger/drill ( 27 ) sliding in a direction substantially parallel to the longitudinal axis of the arm; being also provided an actuator ( 8 ) for maneuvering the arm ( 4 ) at least in the third configuration.",Rohan,No,,,,No
